mjd,r,err_r,i,err_i,g,err_g,z,err_z
56425.5,19.904058209768777,0.2116739729486903,20.024898247613024,0.1982193861165417,20.057935413291553,0.2984138564618027,20.058918589246137,0.20803830880937768
56428.666666666664,19.716162556115705,0.15170568122362343,19.84998334310404,0.14459047523925853,19.834838374966218,0.21461633519720302,19.90834345463042,0.16242021884861996
56431.833333333336,19.56688012890062,0.11508465264311477,19.709535691257017,0.11116082085338241,19.66152408405089,0.1647434534824417,19.785573029080737,0.13215156844428788
56435.0,19.45014463753484,0.09182204921182172,19.598820431497195,0.08955833067198529,19.527722055148345,0.13303582801729263,19.68790581624786,0.11128584305987284
56438.166666666664,19.361925727773425,0.07604057118122114,19.51457352975102,0.07469277103721485,19.42720788606701,0.11121735488825507,19.613256123835242,0.09607668580442798
56441.333333333336,19.299405889452263,0.06432925866307261,19.45443354762493,0.06355563926464461,19.3560656675135,0.0948129502389565,19.559879529399893,0.08423791754367849
56444.5,19.260521801486718,0.05484517154226833,19.416608049395133,0.05450817715227248,19.311837005715493,0.08145547771446318,19.526184672799832,0.07445569769391333
56447.666666666664,19.243685913813948,0.04671958867822857,19.399660760189494,0.0467823517508321,19.29305555091521,0.06999302769772958,19.510605609107323,0.06606133477811849
56450.833333333336,19.24760208222121,0.03967759147244744,19.40236320763277,0.04014877507483119,19.298955093107672,0.06000773366136519,19.51152586295753,0.058826751244877
56454.0,19.27113117716292,0.0338148197690998,19.42358080119709,0.0347102120594901,19.329252043260365,0.05155765411293444,19.52725142368905,0.052828964534475616
56457.166666666664,19.31318240966116,0.02944232826058745,19.46217640323495,0.030742396286596998,19.383953323338837,0.04499905843646198,19.556029028011494,0.0483083623861689
56460.333333333336,19.3726165010553,0.026879479915602664,19.516921935279395,0.028489649813829412,19.463163558787183,0.04075202608989956,19.596101011312037,0.045465142031052196
56463.5,19.448153385052013,0.02615745748811694,19.586414004931957,0.027921891334342638,19.566872662963675,0.038962520397853424,19.645781901591672,0.04425305411174369
56466.666666666664,19.538282807528855,0.02688518740715656,19.6689949455289,0.02866598809491943,19.694701774181315,0.039299434348728596,19.703537923337137,0.044356509669386784
56469.833333333336,19.641182847022424,0.02852162211659553,19.762687274745097,0.030244246646012315,19.845578295360454,0.04117689582024663,19.768050483764917,0.045421333304756575
56473.0,19.754660148728888,0.030794637408181502,19.865157792349887,0.03239447470682016,20.017311998704912,0.04416809469769864,19.838247928470764,0.047328903636393846
56476.166666666664,19.876136380836535,0.033913176686930335,19.973736141783952,0.03521668147068867,20.20607924448857,0.04822647330275552,19.91329410796389,0.050259311665727294
56479.333333333336,20.00271524988291,0.03843595505621081,20.085517710205476,0.039056473051120505,20.40593399258199,0.053887879841304574,19.99252638563247,0.054487806021798375
56482.5,20.131366391674174,0.04477932271617407,20.197575163497618,0.04413883655759439,20.60869016677717,0.06284058167303497,20.075341957121353,0.060061721830917014
56485.666666666664,20.25924626257179,0.05266888361887792,20.30727912160215,0.0501737041379225,20.80479038443012,0.07794895235124284,20.161044734320175,0.06656799407180598
56488.833333333336,20.38413461439783,0.061003922973224704,20.41268580440463,0.056265358475345105,20.98573885974913,0.10060408021936164,20.248688456771955,0.0730912550535616
56492.0,20.504906674590437,0.06820016567081143,20.51290307718343,0.06120489372891149,21.147812392789263,0.12739242614291896,20.33697990078195,0.07835525481075464
56495.166666666664,20.62191773094449,0.07277844402679289,20.608326306538636,0.06397222446051,21.295349442107934,0.15075081376392332,20.424322483440264,0.0810556476616604
56498.333333333336,20.73718932996616,0.07402861684161902,20.700666779427102,0.06427137172688815,21.441737770029583,0.16255089976037507,20.509060672626592,0.08041015226471895
56501.5,20.854367702094848,0.07263736484826257,20.792770981316817,0.06296456402720874,21.608455009387185,0.15675580481396933,20.58991179577925,0.07688467758051813
56504.666666666664,20.9785386566592,0.07100289663658291,20.888307106099226,0.0621206069083458,21.825529768579152,0.1308451986094023,20.666459937937034,0.07287221367514853
56507.833333333336,21.11607263270304,0.07231589767341562,20.991432438213202,0.06401688591831282,22.140136574743998,0.10751048405164072,20.739502140958955,0.07251398004397634
56511.0,21.27472208314623,0.07759039163733195,21.106541541344686,0.06908748036009822,22.65671604969797,0.2574062569794852,20.811059983182325,0.07930112387405718
56514.166666666664,21.464260715217375,0.08388580617099828,21.238154634645305,0.07546964661400624,23.83868443712794,1.3446443592148822,20.88401165052414,0.09345386137642786
56517.333333333336,21.6982082816352,0.09251341180629646,21.39097098058278,0.08373077209561601,23.83868443712794,1.9741276352343493,20.961468600527233,0.11387766029475174
56520.5,21.998114412210224,0.15033704027754138,21.570105022325716,0.11123525257717219,23.83868443712794,2.6354500269380163,21.04610117795574,0.14238210042087893
