mjd,R,err_R,i,err_i,r,err_r,g,err_g,B,err_B,z,err_z
56362.5,21.409868918878686,0.15159263148510235,21.594077716589346,0.25362931316900117,21.321036924935065,0.16443974711836268,21.597078822246807,0.3333736427289278,22.02741707889995,0.30822158775001296,21.755363657378105,0.2957467923920759
56365.58474576271,21.28903130786055,0.11166112743069001,21.46457701529327,0.2038440073714167,21.203637759498456,0.12577947331297817,21.490270992063646,0.2836614549050247,21.919303807769637,0.2607931077851327,21.62359894400684,0.24060912302289084
56368.66949152543,21.168783658100168,0.08835968869426616,21.33506769645036,0.16933457180028308,21.08710884358124,0.10141461264624216,21.385352689564456,0.24282528002559176,21.812941554012347,0.22246313549715757,21.49169422277369,0.2006548506595943
56371.754237288136,21.05106233785409,0.075501326270427,21.207823033218975,0.1445268482001554,20.973258050987546,0.0860452168899478,21.283762792080015,0.20872435690320648,21.70981209383717,0.19084803916003368,21.362013121642942,0.17069338266457726
56374.838983050846,20.937650255420948,0.0676275957478337,21.08487681172084,0.12543833975956975,20.863769096347056,0.07538384568250273,21.18688974272015,0.1798116937116942,21.611338966363064,0.16424230957905922,21.236654406794354,0.1470592107648152
56377.92372881356,20.830127940744106,0.06149931534430244,20.967975861325343,0.10973790806513047,20.76015374351443,0.06685885224662302,21.09603189577893,0.1550429932184439,21.51884650118765,0.14152432992763392,21.117406042167527,0.12754642942931674
56381.00847457627,20.729857318878118,0.05584269170149985,20.85857457279422,0.09628706544132792,20.66373307236193,0.05934351922210919,21.01237672230058,0.13373985378679895,21.43353885043265,0.12199740647054513,21.00574360601533,0.1109879610645195
56384.09322033898,20.637987843771654,0.05043557217069699,20.757855214808085,0.08461805544164436,20.575639418277596,0.052541537571115626,20.93699509068508,0.11545865967114914,21.356494782962073,0.10523402165764781,20.90285513731919,0.09681457094574139
56387.17796610169,20.555475589531135,0.045442530239068794,20.66676086680241,0.07456054195144057,20.496830979933073,0.04650643326784728,20.870846338055564,0.09988828741184094,21.28867355197224,0.09095441898975326,20.809678214306754,0.0847387276307544
56390.26271186441,20.48310805685537,0.041079049986679016,20.586031810314264,0.06602936259072523,20.428112673990427,0.04136743865143417,20.814790237692712,0.08677974817467007,21.230927637767397,0.07894389315773448,20.726939668793523,0.07457011060847245
56393.34745762712,20.421529741496897,0.03747076448471878,20.516239787943743,0.058924135354206875,20.370158660317127,0.03719556897703173,20.769602765634385,0.07590218775649078,21.18401906464252,0.06900169998576271,20.655192265560306,0.06612497936887364
56396.43220338983,20.37126539246174,0.034614584404795694,20.457817137242632,0.053095991931438755,20.323533562116822,0.03395275673796249,20.73599344119742,0.06701869573380331,21.148636935574707,0.06091337303597748,20.59484545304871,0.05919358402411558
56399.516949152545,20.332739207077545,0.03239839450677631,20.411079449939066,0.048352944331943606,20.288710577742634,0.03149697164785893,20.714622777960102,0.059877678052902256,21.125414630370845,0.05444130114327955,20.546189000263226,0.053541649867651836
56402.601694915254,20.306289010130968,0.03065279425984695,20.376241307604126,0.04448547704360184,20.266085419641193,0.029625894441247847,20.70611895958224,0.05421757198215394,21.114945699810463,0.04933094393672191,20.509409243589086,0.04893010888634177
56405.686440677964,20.292174855344683,0.02920867208929471,20.353425041797625,0.04129813094902032,20.25598538880656,0.02813497697105484,20.711093236862137,0.04978238753752843,21.117797852224665,0.04532947302026629,20.48459805194135,0.04514096203039256
56408.77118644068,20.290581583180725,0.027940202355057495,20.34266255885973,0.03863623924032608,20.258672981043027,0.026865056206598407,20.730153741160287,0.046343298099180544,21.13452458491098,0.042210704174320095,20.471754699756794,0.04199990369128036
56411.85593220339,20.301614763841854,0.026786679155361554,20.34389020813332,0.03640194286145904,20.27434329236939,0.025728013046904193,20.763917435972253,0.04371976442362051,21.16567397177164,0.03979838583037599,20.470780777954346,0.039390143140291475
