mjd,g',err_g',i',err_i',r',err_r',u',err_u',z',err_z'
54027.5,22.106769970909536,0.09597798357393637,22.15717029990187,0.0788500635366904,22.05432054605931,0.08187933091112538,21.681028098747667,0.12516480355355342,22.568332248478743,0.1080162793655103
54030.833333333336,22.295682097880253,0.09065851231791366,22.304581539978816,0.07631084157485371,22.220957916807265,0.07628276717327587,21.76847591174947,0.130731326747101,22.77060927287174,0.1046968789058961
54034.166666666664,22.272667953652096,0.10060085384820708,22.287323031481975,0.08583061728813428,22.201056542870234,0.08730408779969696,21.759204821025424,0.1309421888370204,22.745700947530235,0.11312083939225627
54037.5,21.981318227010597,0.08927042212677157,22.057275313339623,0.07910350220796537,21.942389443105455,0.08037464216235106,21.621010703727062,0.11722339274210701,22.434978551015963,0.09726108177300016
54040.833333333336,21.55410406073447,0.07901614383149129,21.69860246224119,0.07137032885954209,21.550695696408933,0.07316438429105686,21.382529366769553,0.09833051352102021,21.987727479057703,0.08368352336766603
54044.166666666664,21.126803856642727,0.06564590044890688,21.32005417607794,0.06012552602612456,21.148002490654328,0.061737528521213614,21.10384674135243,0.07958394486595986,21.547131533246798,0.06852960136868756
54047.5,20.756654001107954,0.05064965595564884,20.980183686218894,0.04656432093483293,20.792860323905394,0.04781708180389509,20.83352954654191,0.06283386678472196,21.169096625545897,0.05267160212219559
54050.833333333336,20.456435077677927,0.03796741750132671,20.69840615078367,0.03451633872546213,20.50167828560616,0.03559134964206988,20.597438739710373,0.049657791712854595,20.86420908470884,0.039626815376305635
54054.166666666664,20.22369463978339,0.029845028496477757,20.47704409803629,0.02658457992028869,20.274474587420883,0.027629444573527503,20.405664393126443,0.04114190137081336,20.628637200569248,0.031355758658646066
54057.5,20.052126191150677,0.026906826905515623,20.312570607996783,0.023906307211106592,20.10634347935911,0.0248864112523496,20.260219427529993,0.03748737289939691,20.455321859835077,0.028269205642641747
54060.833333333336,19.935128767225475,0.02980849431339998,20.19994013440432,0.027359733194610197,19.99145598353523,0.02816290634203449,20.159532220579543,0.038938058590667755,20.33725627021895,0.03092783421810936
54064.166666666664,19.86675341317249,0.041232495719289136,20.134075239703147,0.03925574595230841,19.924291593235548,0.039948963201443734,20.1006152175084,0.047495599637752385,20.268269267635276,0.04209679792862867
54067.5,19.841859085992418,0.06449956374415745,20.110321694086515,0.06244130922637995,19.899947062958233,0.06328237121656652,20.0800389712241,0.06652817725070417,20.24309758091125,0.06526514949774653
