mjd,r,err_r,i,err_i,g,err_g,z,err_z,B,err_B
55320.5,21.35656113824012,0.29468862728637035,21.80413397662512,0.8137172922008117,21.52456134132627,0.5011243972679171,22.378020217009478,2.3276415554757035,21.02244248463714,0.8911272360905574
55323.551546391755,20.26860298868626,0.10559529340114684,20.56788427838528,0.23012432650297204,20.533330284651438,0.20531060070189028,20.883230916104644,0.5349511928521874,20.139134383196236,0.388596458171452
55326.6030927835,19.721601549143067,0.07560729098621463,19.988605824393638,0.1270969141493894,20.010507552653397,0.1337016231441267,20.2588566624479,0.27788317014941616,19.646711715010504,0.24382193170657726
55329.654639175256,19.35338232646608,0.05949189184879937,19.60578440338378,0.08549106418937004,19.653649841906113,0.09842424443204757,19.856653076929653,0.17820839524607027,19.304680369444625,0.1735458310045598
55332.70618556701,19.07677314992969,0.04778715717567822,19.32049230897768,0.06324270610195756,19.383927018884613,0.07591441908526127,19.56011831293365,0.1268388213857676,19.04412051404564,0.13108903455829268
55335.757731958765,18.856498742427103,0.03964085198783935,19.094180412035755,0.05042044129929143,19.168499583500193,0.060375119530594656,19.326109291114342,0.09695432090387346,18.835224431694794,0.10258433243228139
55338.80927835051,18.674692952652357,0.034526684568702795,18.90771208002437,0.043184228923978135,18.9904703986466,0.0495293804967743,19.13376281778614,0.07860052186050953,18.6623320467574,0.08243521710359736
55341.86082474227,18.521166111395832,0.03146808345468582,18.75030299110309,0.0391174238614535,18.84011064204762,0.041934116756227977,18.9715025673851,0.06688466434020118,18.516312742684246,0.06777984677520858
55344.91237113402,18.389768349319706,0.02939665778550014,18.61548725518755,0.03650958751284629,18.711518311664083,0.03643907518544978,18.832447931124793,0.05896092760991905,18.391590418507636,0.0568726186395013
55347.963917525776,18.276761143648837,0.027588091276687925,18.499339463493055,0.03437000844834647,18.601103093144253,0.03219550207589173,18.71243146699554,0.053145678352340735,18.284772011431286,0.04856972695764538
55351.01546391752,18.179973710392968,0.025767008152089134,18.39956480401618,0.0323108538072054,18.50679382278846,0.028719392862956043,18.609000112385868,0.04854031026772864,18.1939208582353,0.04215368444548844
55354.06701030928,18.098303498802988,0.02399018728712808,18.314966186677037,0.030323859568791803,18.427565129869606,0.02585871433937512,18.520838421244576,0.044753850020667035,18.118117717403024,0.0372364534263106
55357.11855670103,18.031383764832544,0.022489501407903654,18.245093159068137,0.028581606859552296,18.363119938765553,0.023686630471706202,18.447393513561675,0.04167701428395115,18.057163382822207,0.03365977804423329
55360.17010309279,17.979342978493076,0.021533059806734253,18.189989783655125,0.027294804849911838,18.313658388029378,0.022366003688224712,18.38860863552924,0.039317286081687,18.011360885613637,0.03138203742930382
55363.221649484534,17.942622643214754,0.021307313909357986,18.150004396732758,0.02661624166629552,18.279702616661936,0.02201144578474754,18.344723427885427,0.037693261950730896,17.98135054133404,0.030368111603847652
55366.27319587629,17.921836897875078,0.021843038629529275,18.12564257008341,0.026588878615468395,18.26196248092784,0.02259512341362761,18.316119652822508,0.03677941688493148,17.967985301186776,0.030516015222648695
55369.32474226804,17.917663117378364,0.023021512763636336,18.117451198893352,0.027142692055454,18.2612325897415,0.02394936531325057,18.303198831417376,0.03649075690152715,17.972238653681444,0.03164866799940794
55372.37628865979,17.930753993031242,0.02464321722237337,18.125923357655136,0.02812940586630995,18.278312048187885,0.025842920499237223,18.306280663675313,0.036693467565571576,17.995138187843427,0.03355632501277318
55375.427835051545,17.9616611740601,0.026494691280009135,18.15141356317673,0.02936590434727675,18.313937715738085,0.028050854382580835,18.325511745404892,0.037225390317971396,18.03771744033555,0.03604361763700719
55378.4793814433,18.010759675763108,0.028378109714776955,18.194052743076313,0.030663145079032613,18.3687206700709,0.030380062645876917,18.36077458076067,0.037914291510344304,18.10097776724047,0.03895277604940524
55381.530927835054,18.078161324084018,0.03011218357561316,18.253652203043092,0.03183775965994775,18.443074126296597,0.032664404285057014,18.41158814796836,0.038590490103250094,18.185850761462287,0.04216575384332651
55384.5824742268,18.16360484734903,0.031524319790004654,18.329586946553288,0.032716103309861175,18.53711924584238,0.03475199733292986,18.47699432829264,0.03909747456291167,18.293149751337705,0.0455990607073138
55387.634020618556,18.26631076916522,0.03244801788272576,18.42065228011713,0.03314250545448986,18.650553323648477,0.036497764090356134,18.555430984401042,0.03930700605132248,18.423495508653435,0.04920177251788452
55390.68556701031,18.384793342918996,0.032735077463639524,18.52489650320466,0.03300221234922713,18.782464070188755,0.03776844242099878,18.644604730327373,0.039144440318320275,18.577195801890415,0.05296246744886043
55393.737113402065,18.516634137816116,0.032292864651233134,18.639450834726496,0.03226797051758137,18.93107777795596,0.038467364289522084,18.741396645501553,0.03862495382835222,18.754050682071988,0.056928544812348575
55396.78865979381,18.658250041651556,0.031157867784352485,18.760409494693732,0.031071656401717548,19.093446075154088,0.03858754763939333,18.841861217848518,0.03788789168443069,18.95304715539415,0.061238918756247686
55399.84020618557,18.804739586951797,0.02960273349165316,18.882855567226166,0.029771324073204933,19.265119322450918,0.038292416696010974,18.941402088491444,0.03719191561474032,19.17190563722648,0.06616169382014983
55402.89175257732,18.949960350449764,0.028206503563694082,19.00116091584854,0.02891097177516736,19.439938620742858,0.03797870203921422,19.035201847722426,0.03681784960145873,19.406467218161094,0.0721021284458397
55405.94329896907,19.08703450541176,0.02767822530603795,19.10966165916918,0.028932035221777334,19.610193263195775,0.03818437116877066,19.118912931981267,0.036880629460088216,19.650009711239406,0.0795038414848913
55408.99484536082,19.209404860484934,0.028290584266064827,19.2036684027682,0.02975458501170875,19.767452047133617,0.039209674603065146,19.18947541137743,0.03719015332864162,19.89281108906795,0.0885632182555315
55412.04639175258,19.312284057438802,0.02946437500046411,19.280529607799757,0.03073149381746359,19.90420168657352,0.04070393214757387,19.245783717096124,0.03733185001793105,20.122622839518055,0.09883738079579203
55415.09793814433,19.393951459081887,0.030195298603456266,19.34029288652848,0.031112473965738217,20.015890878127514,0.04181491506693999,19.28890897022387,0.03692608661984883,20.32684217741352,0.10914490696455678
55418.14948453608,19.456215007952242,0.02984449235206409,19.385617547097436,0.030524820435991053,20.102387983159396,0.0419100713189477,19.321763543298445,0.0358525498781667,20.49637179696418,0.11819581704225918
55421.201030927834,19.503748986954342,0.028530708310771816,19.42097366564742,0.02913105643890127,20.16792625503964,0.04116134696470452,19.34836003960538,0.03430446112392339,20.629328218794317,0.12564790079550517
