mjd,r,err_r,i,err_i,B,err_B,g,err_g,R,err_R
55049.5,18.969074936873156,0.05291135702405503,19.26013772761205,0.06033336051117316,18.644215389399346,0.16572896823150798,18.735851127744503,0.07214789524019187,19.06904613502341,0.060528308557667526
55052.57042253521,18.84543303891965,0.035799718401075716,19.132416271599865,0.04348065018041329,18.562390040079023,0.14410804899100602,18.627462847089486,0.054684742855483595,18.934281030374315,0.04334372854770168
55055.640845070426,18.738519074909803,0.02505001482851293,19.02207431439698,0.03295402342422089,18.49213529622745,0.12701266628434385,18.533601270958833,0.042917257532383624,18.818058436841575,0.033116126554828824
55058.711267605635,18.645932665364533,0.019490724502801832,18.926503406465994,0.02707443355475316,18.432523872673514,0.1133981644795281,18.45252519657563,0.03549139515359182,18.717421502274497,0.0278794002179187
55061.781690140844,18.56588711707112,0.017918759978533143,18.843774999615405,0.024435140678040482,18.38282644239443,0.1024945961255522,18.382907190966822,0.03133230922005891,18.630210728486343,0.025913040283718578
55064.85211267605,18.49701449087641,0.018622655123216543,18.77241980196995,0.02376791909946249,18.34246266747628,0.09372152574648555,18.32371265934163,0.029469476820425018,18.554797412160937,0.02575231725208801
55067.92253521127,18.438241668358128,0.020193161064883072,18.711289044512217,0.02412591606032905,18.31096647494021,0.08663262001856008,18.274119778799076,0.029063032378973872,18.489919045218222,0.026429554013519173
55070.99295774648,18.388708341254592,0.0219438866575151,18.659463518041136,0.024955944297380288,18.287960785249055,0.08087890866097869,18.233464674846985,0.0294911510204614,18.434573038854644,0.027445764135132486
55074.06338028169,18.347710836937686,0.02363520228966434,18.616191748152005,0.025988915908504884,18.273138649136826,0.07618400417615577,18.20120275324674,0.030359811436758775,18.38794546388309,0.028584465290238285
55077.133802816905,18.314662446074863,0.025208833900937217,18.580846621626428,0.027107760687019585,18.266248793755818,0.0723270539423999,18.176880683849276,0.031444472776196275,18.34936167811255,0.029762011157580592
55080.204225352114,18.289064614450435,0.026664909050886292,18.552894073356853,0.02826299141709651,18.26708422178582,0.06913069115332314,18.160115585795516,0.032623518864655095,18.318251108686866,0.03094678180440401
55083.27464788732,18.27048547471582,0.028014911460153606,18.531869874418913,0.02943013380300847,18.275472910506277,0.06645220489913434,18.150579184116786,0.03383072585536068,18.294121461886398,0.03212251950110013
55086.34507042253,18.258543450425762,0.029265820218326785,18.51736199457422,0.030591132428413062,18.291269914078036,0.06417678425415187,18.147985458294514,0.03502733834788222,18.276539377446046,0.03327398040437988
55089.41549295775,18.25289443832069,0.030416459696710096,18.508996887830044,0.03172765183288431,18.314350335086278,0.06221211806862832,18.152080779223045,0.036187338414113854,18.265115595989815,0.03438287322030726
55092.48591549296,18.253221567172112,0.031458477816629964,18.50642860317948,0.03281981784917399,18.344602732883885,0.06048391844705371,18.162635842012747,0.03729037204550233,18.259493364215302,0.03542818175336841
55095.55633802817,18.259226855595728,0.032378890460392884,18.509329984877965,0.033847213267698274,18.381922596392474,0.05893213283114494,18.17943891202877,0.038318865760542914,18.259339225505308,0.036388102640664624
55098.626760563384,18.270624312507564,0.03316297825822281,18.517385472490716,0.034790643158439535,18.426205540809978,0.05750776167263966,18.202290048946818,0.03925741017697217,18.264335625676335,0.03724237396703488
