mjd,V,err_V,R,err_R,B,err_B,r,err_r,i,err_i,U,err_U
57525.5,17.254034818172435,0.07682672741904184,17.507142523007943,0.06398562371456301,17.350808654583332,0.09199876777780304,17.50266755950663,0.06425852504904486,17.696225066880938,0.06741227789975782,16.301920474713476,0.10178991995906461
57528.681818181816,17.041693655550315,0.0407347803429375,17.28520966895099,0.03446602307981118,17.142892513523837,0.05194871024166057,17.280357591965803,0.03490746303651072,17.47150562117531,0.038742703507578365,16.09647502423872,0.059229840893399874
57531.86363636364,16.87417726062047,0.024314701528351485,17.109446203452126,0.022270200000525025,16.97922684363811,0.03265047026970155,17.10427263553315,0.022746625926596008,17.293371446432808,0.026420708698777138,15.934972208718987,0.038138012499612385
57535.045454545456,16.74370538811061,0.018553676780221705,16.970748827268153,0.018334657413737507,16.852638680219933,0.02459791622424217,16.96525712609131,0.018722489320357725,17.152332516614123,0.021616893480819004,15.810577605829724,0.028743445143037852
57538.22727272727,16.645360549616292,0.016929953130852132,16.86337204993847,0.017015350786929825,16.758608600497787,0.02158947265879393,16.857533896527578,0.01731213802988645,17.04241070294831,0.01953283612627782,15.71899900513247,0.02491862610005893
57541.40909090909,16.575881336768337,0.01629574989602594,16.783428234725502,0.016337405643198518,16.694195491222946,0.02039855467642822,16.77719239797192,0.016587442081555274,16.959551845828504,0.018465674346606464,15.657483852289229,0.023395101123451705
57544.59090909091,16.53302418902172,0.01598142859071853,16.72810994190894,0.01606486365010817,16.657466556008355,0.02000057343978494,16.72140570723615,0.01630347497051196,16.90080881329514,0.01808614749180145,15.624289002102278,0.022979589498166298
57547.77272727273,16.515190828334198,0.016056262927537063,16.69523965185511,0.016279096935114423,16.647169672196615,0.02024645094700636,16.687977573669574,0.016524876577730437,16.86387191901906,0.018339718937644772,15.618381763495899,0.02340164704572966
57550.954545454544,16.521185589670008,0.016643619363237095,16.682977270282915,0.016964332397391372,16.66252888185374,0.021195585892420103,16.67504856344399,0.017222921225121632,16.846767072634517,0.01911175956568277,15.639263096273313,0.024679085940720547
57554.13636363636,16.550032892632586,0.017824318171710624,16.689603895949972,0.01802513066615275,16.7031014284493,0.022966170829154246,16.680879354437312,0.018294275421741613,16.847636941849927,0.02025026077594796,15.686857840381789,0.026951284001216613
57557.318181818184,16.60081228293614,0.019708010469063775,16.713339101445914,0.019401483507746852,16.768658093923218,0.0257634801493662,16.7036684496956,0.01967412513256305,16.864562390132388,0.02166280458552677,15.761439693793255,0.03049229392888847
57560.5,16.672478685791738,0.02247295445383926,16.752169090138075,0.021133557489372637,16.859055335451135,0.02989705184244375,16.741381985868674,0.021399338991550998,16.895403558034186,0.023367662465109976,15.863566254733302,0.03572867756877439
57563.681818181816,16.76363785982635,0.026313810945394717,16.803677500841175,0.023355664810113235,16.974063538229373,0.03572791545149533,16.791587942420712,0.023603177978930818,16.93765562900941,0.025490837304582754,15.993996229751435,0.043208525242198696
57566.86363636364,16.872247538160607,0.03133418294105471,16.864886385434158,0.0262486863857426,17.11310135460837,0.043569916209913094,16.851302872892852,0.026469955108587195,16.988329991677332,0.02823223554121489,16.153544893240973,0.05354476770770313
57570.045454545456,16.995221972260218,0.0374442712063567,16.932136246634418,0.02998910090874229,17.274801256736364,0.05357465689637633,16.916880283840847,0.030185242433691792,17.043889738852513,0.03182221345462196,16.342796709821844,0.06735823716735032
57573.22727272727,17.12794832848608,0.04428335521267799,17.001061060880616,0.034723057736548914,17.456301517251305,0.06556663982560129,16.98399563036751,0.03490787787644191,17.100286923346747,0.03648162027007326,16.56151909778632,0.08517139145683918
57576.40909090909,17.26380621752132,0.05115893454873938,17.066737667059865,0.04056128899560161,17.652155446407907,0.07872923195042998,17.0478040424859,0.04075973274575535,17.15315766844845,0.042382725745355294,16.8074870099627,0.10707362665899334
57579.59090909091,17.393943779606865,0.057038973701517684,17.12408478295516,0.04756272692973373,17.85287100668073,0.0910464145949917,17.10334002437999,0.04780365486145852,17.198211902864845,0.04959955927166825,17.074248375287585,0.13178229994186944
57582.77272727273,17.50776711614174,0.06075217982598874,17.168522461832683,0.05569510603287494,18.043566348424985,0.09862680615460692,17.146163277200266,0.05600129676678869,17.231790913351787,0.05805926293243138,17.347377834347608,0.15456646579093208
57585.954545454544,17.5946209502212,0.061713327190655656,17.196769121318795,0.06482298582045705,18.204239847567745,0.09578576544300585,17.173126129329287,0.06520242385959288,17.251468122562542,0.06754531299543848,17.599988463462974,0.16438233808288685
57589.13636363636,17.646589920368204,0.06153852752611875,17.207512138767637,0.07480041025740684,18.31397607976318,0.07823509375067497,17.18300756312477,0.0752395283699395,17.25649210774821,0.07780115333866194,17.79256972223074,0.14549937394433993
57592.318181818184,17.6612410488451,0.06587072993046886,17.201663690218748,0.08567032426546348,18.35941144771987,0.05618276836556772,17.17674296316829,0.08612645049600684,17.24789045805547,0.0887155487618797,17.88687003371662,0.10134401429760563
57595.5,17.6425402284413,0.08190689203900164,17.182077235198875,0.09785005244039251,18.342073805784082,0.0777164545320264,17.157138709345357,0.09824366838993193,17.228186380614762,0.10049378225856892,17.87178090760318,0.12203125190989794
