mjd,V,err_V,B,err_B,U,err_U,i,err_i,UVW2,err_UVW2,UVM2,err_UVM2
57899.5,14.172804455441497,0.09566251260897221,15.088790368789693,0.07288544806837265,14.175944455403357,0.1234297731920779,14.77814617027039,0.08274409722136765,14.165050777432537,0.20813218742231532,13.968564129091629,0.22541095266631989
57902.56172839506,14.195643280964882,0.10372367571223637,15.170194256194002,0.07403092565755803,14.273928544081762,0.08314497247139277,14.797072956724392,0.08268508305245456,14.157366017491677,0.1290448071171185,13.963174656277197,0.1384109777053259
57905.62345679013,inf,inf,16.865471218211088,1.3702791575206263,14.474213393295125,0.09800365806742463,17.315664768621385,3.4852124794280854,14.243341976722807,0.09113243676710552,13.91565894303045,0.07343612083448102
57908.68518518518,15.667100851106389,0.24739901207466883,15.83170487242107,0.09446228064512216,14.321702522151314,0.057340623351893556,15.551696600473399,0.095475710901649,14.082146329949914,0.0441145233100439,13.808934368050089,0.04354206887212097
57911.746913580246,15.817210565995675,2.413901215031912,15.698153510692991,0.5305019474177725,14.131314305973987,0.0658988818630136,15.500116414320376,0.7494829103520874,13.938549507383936,0.05543837830134034,13.657233442438045,0.04047779737825734
57914.80864197531,14.867070201064589,0.18283850155565654,15.224001158699892,0.07241230817321101,13.870415202632094,0.042958980049651256,15.026359994594475,0.08929931069914382,13.76999614806075,0.03920880178287989,13.505283440742815,0.03899269731415734
57917.87037037037,14.34368979917149,0.4351113239934001,14.862580574501404,0.17661512629019605,13.642061572521628,0.04660332823461699,14.691472623771864,0.2505311301540226,13.647315949162149,0.041805926566703136,13.395603797559799,0.03576359014499438
57920.932098765436,14.64515186449354,0.15521752712332748,14.832208478132571,0.060296379024705825,13.50794351270583,0.04039491371071268,14.827150669340822,0.0780769974930614,13.62999029083145,0.03427976372741796,13.356674981922884,0.033560697248430374
57923.99382716049,14.769531509066896,0.5195593484252761,14.769831906406985,0.1338019653928847,13.431901672323043,0.0431350659698462,14.901573175711661,0.24589488018840433,13.688397949704573,0.03962861146766949,13.404201336405608,0.03363592041188446
57927.055555555555,14.710935095636781,0.5441292510813454,14.709115196633578,0.13928221203806088,13.416578317235345,0.04491520981411345,14.930012418913028,0.27873483125383475,13.829265243274097,0.04445582148400702,13.542296723701133,0.036136373564560995
57930.11728395062,16.36597188267482,4.819339324463087,14.94016306564073,0.3228817619387965,13.487025521054637,0.05618748654192999,15.633568020016247,1.024738863155359,14.100258192194053,0.07344701213799713,13.762702362842168,0.04175852512470116
57933.17901234568,14.723029974639113,0.6312418961322195,14.74807910735008,0.16309923147872096,13.545501311136825,0.0485985723529368,15.124225889298167,0.38134596574042423,14.334172331383888,0.06581916916337975,14.041409448091581,0.049109357519197566
