mjd,B,err_B,U,err_U,UVW1,err_UVW1,UVW2,err_UVW2,UVM2,err_UVM2,V,err_V
57632.5,16.248193771857945,0.037026897613139355,15.049222454015336,0.035956984704981446,15.583790909211569,0.0712027862339707,16.631919192249836,0.04012061672380877,16.19502765601727,0.0491356635887155,16.141352029051642,0.05405208850767214
57635.55172413793,16.229687012441016,0.03241577003601828,15.032343713663236,0.031608946298927715,15.569830689153768,0.06357730095565112,16.615697663574277,0.03507250877227602,16.18006967826576,0.043154935763980634,16.119957602273004,0.049374042384469796
57638.60344827586,16.212011250169443,0.02875387795565393,15.016315212268044,0.028133393803188262,15.547491568619003,0.06291149448063418,16.599457233648117,0.03296592172004847,16.163769029088794,0.04125849698998182,16.097781029719776,0.045944037419302676
57641.65517241379,16.19517332490902,0.02599532621303789,15.001145316380146,0.02548824335993352,15.5048241531623,0.06740984135661131,16.580261322390875,0.032802486975921114,16.14120062509555,0.042111796070878386,16.07184566256816,0.043455424430499844
57644.706896551725,16.179180095609915,0.024061911073281234,14.986842501146269,0.023603809254653885,15.465021735335487,0.07174923494777916,16.563977764292385,0.03321921429629201,16.122002333327462,0.043461407536597094,16.047994546579282,0.041714011843464585
57647.75862068965,16.164038367870774,0.022837012992476768,14.97341528209632,0.022377562914732547,15.446539422127907,0.06979509998647011,16.555556175040028,0.032787519535929746,16.11427431019443,0.042818113473651206,16.031056486640345,0.03995558149659867
57650.81034482759,16.149754819448937,0.022174121739854866,14.96087214453252,0.021680620089361478,15.44693338175869,0.07055237595583805,16.55441457721103,0.03287239529590886,16.117121431817182,0.04305605724296954,16.020361686536113,0.03905427760407133
57653.862068965514,16.136335923782447,0.021917612731983782,14.949221470542707,0.021374550057264026,15.456430951117493,0.06787940485377447,16.557804798750006,0.03263651847568757,16.126180477423816,0.04245322445828968,16.013194962276533,0.03820288681774578
57656.91379310345,16.123787871566204,0.02192475247074939,14.93847146362924,0.021330099026378457,15.469795840834932,0.06492635425932154,16.564077056985532,0.032404409645332866,16.138916776268523,0.041827179896585936,16.008013479294718,0.03757562201018212
57659.96551724138,16.112116490407917,0.02207940847747636,14.928630070919834,0.02143981126720065,15.481871489033907,0.061253143121636336,16.571547202066256,0.03184865821504962,16.152733737973698,0.040659375728204085,16.003335782090094,0.03675040738262266
57663.01724137931,16.101327162567852,0.02229568641991044,14.919704902895052,0.02162231836184269,15.486551180527886,0.06499817275289174,16.578234136395466,0.03237749707165261,16.164512838921745,0.04175872623482382,15.997498552898538,0.036579614825353775
57666.06896551724,16.091424740771632,0.02251496119319808,14.911703150540452,0.021820635569438404,15.489530882903573,0.06816551518956475,16.58518218973513,0.03322393931509592,16.17621978633508,0.04322238275586714,15.99171789158728,0.036595096206718636
57669.120689655174,16.082413462071194,0.022700330962343154,14.904631499804124,0.02199776160792708,15.515115270660724,0.06907674644238007,16.598284600131137,0.03384429291059215,16.19812199202138,0.04406780632378813,15.991566550821638,0.0366331547521819
57672.1724137931,16.07429685971819,0.02283098239789097,14.898496043214012,0.022131847490412818,15.557490580570425,0.06972129825946508,16.615420508827096,0.03469766719570742,16.227048120809886,0.0451639057710826,15.995152869035632,0.03675301619212274
57675.224137931036,16.06707767301032,0.022897479842485677,14.89330218848848,0.02221198110158362,15.562247736829322,0.07764545314532326,16.622313232610612,0.037391324298456624,16.238617598608712,0.04970325525284212,15.98988383959271,0.03763275108233888
57678.275862068964,16.060757755072366,0.022898165523451166,14.889054563955092,0.02223487138115837,15.525639602546615,0.09072182598166756,16.617588123954157,0.041304691074733106,16.23041146239843,0.05657531152300706,15.975005149345751,0.03923561348015535
57681.3275862069,16.05533797854092,0.022836528592272733,14.88575692057954,0.022202373182206542,15.500311139046552,0.09401355038219493,16.614372973890415,0.04307811618459901,16.225250911393303,0.05937746838202412,15.962328490996088,0.03968306098786613
57684.379310344826,16.05081813914059,0.02271932289968104,14.883412030401168,0.022119688303160724,15.51313547246295,0.09321494437747993,16.619905182371358,0.04289932550337076,16.2356820905466,0.05909788368804496,15.958112047959215,0.039358675894898304
57687.43103448276,16.047196857165044,0.022555232761013753,14.882021581173163,0.021994075282966048,15.556995149857169,0.08479409245660353,16.632083702412594,0.040477197572776256,16.258278013002478,0.054862540347906504,15.960375583989755,0.037965313788834824
57690.48275862069,16.044471476915795,0.022353930659036268,14.881586067017878,0.021833930875126535,15.587640350478434,0.07370070393212881,16.63922164545508,0.03789099350498985,16.272750227159182,0.05012016158537289,15.959049438227337,0.03647881383077546
57693.53448275862,16.04263796420203,0.02212541384655967,14.882104674931504,0.021648140628594093,15.569696975129325,0.08432588161804086,16.632733310039644,0.0390914537260506,16.263763218280612,0.05334169262799307,15.946945211921717,0.03719816140824837
57696.58620689655,16.041690802071344,0.02187954068059741,14.883575167009708,0.0214456249805442,15.539174141597083,0.08696884417756284,16.621882094462443,0.039081017174688024,16.247489316705845,0.05397848394647322,15.931942436391493,0.03711739872184745
57699.637931034486,16.04162288502323,0.02162571193724748,14.88599375832061,0.02123502883820624,15.527580859566674,0.07593360327901504,16.61505141097832,0.036247431043214366,16.238462773501837,0.04904630446319852,15.920990766288774,0.03547902860834061
57702.68965517241,16.042425412056545,0.0213726590447917,14.88935499042411,0.021024517584458915,15.51944656444409,0.07623460942962444,16.608583645896275,0.0351197184607876,16.23011241008928,0.047868073632328687,15.9108705028169,0.03509632998729439
57705.74137931035,16.04408777902228,0.021128312062376225,14.893651600631445,0.020821652201342234,15.506707769923015,0.07298666478361378,16.60068937589404,0.03353691840379121,16.219161484390767,0.045587065716833165,15.899953999775471,0.03438717844107051
57708.793103448275,16.04659747089231,0.020899726961471243,14.898874387219003,0.02063332214257597,15.505683028500261,0.06333610771214021,16.59596158322767,0.030875858606495776,16.21340792419366,0.04094979669801146,15.891926834030244,0.033067416273078076
57711.84482758621,16.049939954718145,0.02069305565378204,14.905012070958508,0.020465717896820012,15.52374580310856,0.06165636368863774,16.596596069501814,0.029859644472081306,16.216473412786222,0.03949809520733559,15.88844414707646,0.03257642854939537
57714.89655172414,16.054098574237944,0.020513544336850195,14.91205115350471,0.0203243269087345,15.547438476377721,0.0627927914597285,16.599310812748403,0.029922760440084486,16.222513953686075,0.03979515190671244,15.886619052000722,0.03242143819225894
57717.94827586207,16.059054447299946,0.02036554702649926,14.919975773397399,0.02021393759622588,15.570092224629787,0.06623976129422797,16.602700610636344,0.030694153926817548,16.22892481597463,0.04123554915863249,15.88514951092912,0.03253485004839931
57721.0,16.064786367501384,0.020252542419316278,14.928767560685813,0.020138637454554454,15.58995548196817,0.0700817167393912,16.606659032081517,0.031980249013404426,16.235357144341673,0.043379531762970935,15.883821840875294,0.03281558558436705
57724.05172413793,16.071270711696584,0.020177144138906915,14.938405491478125,0.02010179337250499,15.594952799883746,0.07401911903400368,16.608568589459537,0.03349374565992557,16.23707548198152,0.04582409697743414,15.880398143568984,0.033175045381741396
57727.10344827586,16.078481355300376,0.02014109742187014,14.94886574405414,0.020106005801615475,15.582240675087364,0.07388668363120969,16.60798689287393,0.033772615233995995,16.233193066949113,0.04603514513904842,15.874459724032882,0.03293473318808356
57730.15517241379,16.08638959760128,0.020145259585369273,14.960121558558935,0.020153033525076733,15.562176448639736,0.07167009106953683,16.607530184149073,0.03310884534953259,16.22822738715366,0.0446758657001965,15.868079092078528,0.032282853644428386
57733.206896551725,16.094964099598045,0.020189567078605947,14.972143102719556,0.020243692323254753,15.549701118762497,0.07191101601528048,16.61101173964021,0.033033299365688544,16.22875269977349,0.044489121363806595,15.864265371567384,0.031982993596649946
57736.25862068965,16.104170837171235,0.020272998173030167,14.984897346487605,0.02037773833051925,15.558094217672362,0.07420249487847086,16.621964385111202,0.033583937280409676,16.240831109002887,0.04550178601725459,15.865740623018903,0.03206013150962851
57739.31034482759,16.113973072694463,0.020393546832793322,14.998347949011514,0.02055375457792992,15.58479667840543,0.07622484314838343,16.639800998396332,0.0340468342024867,16.26347236165204,0.046427005025564995,15.871898276143785,0.032227679016373544
