mjd,R,err_R,V,err_V,B,err_B,I,err_I
54129.5,17.900959829564524,0.09064111035231186,18.00587737976741,0.0911931333641297,18.402395491391765,0.10163345501636833,17.536675793908348,0.09887055775267196
54132.579365079364,17.88928871685754,0.08410654396415959,17.994334022208925,0.08467831290430572,18.391347537082883,0.09529451353602525,17.52444964838252,0.0924047564373039
54135.65873015873,17.87954708315644,0.07833703562377718,17.984727833599393,0.07892574333153585,18.38226688213403,0.08969204581862458,17.514119953835625,0.08669624836937011
54138.73809523809,17.871744229360967,0.07326008613426424,17.97706882182998,0.0738626723862499,18.37516633504927,0.08475041926317904,17.50569301108508,0.08166972774796359
54141.81746031746,17.86588994998368,0.06880391468761228,17.97136755231548,0.06941712328023482,18.370059520970926,0.08039601366347815,17.49917535034598,0.07725160652458443
54144.89682539683,17.861994477533724,0.06489766579217418,17.967635099252355,0.06551812851106323,18.366960861709366,0.07655768577694015,17.494573648214512,0.0733704142711182
54147.97619047619,17.86006841984121,0.061471944308437644,17.965882990554814,0.06209628124107478,18.36588555272765,0.07316739815413084,17.491894634860596,0.06995741634158419
54151.055555555555,17.860122688941832,0.05845960013619835,17.966123145168552,0.05908452247074471,18.366849536176456,0.07016091837863328,17.491144989794915,0.06694735640501392
54154.13492063492,17.862168419946148,0.05579664425876671,17.968367801272905,0.05641904541900575,18.369869468928563,0.06747849263693026,17.492331224370123,0.06427921679527847
54157.21428571428,17.866216878091173,0.05342316274658852,17.972629433661965,0.05404018648702198,18.37496268438861,0.06506541257541018,17.4954595489454,0.061896898072189226
54160.293650793654,17.872279351911246,0.051284108796957564,17.978920658339543,0.051893187706186505,18.382147146646503,0.06287242167491638,17.500535722383784,0.05974974434951733
54163.37301587302,17.880367030164233,0.049329888978037396,17.987254122067316,0.04992875214897412,18.391441395297377,0.060855939237972285,17.507564881263924,0.05779287532549787
54166.45238095238,17.890490859805915,0.047516706273349175,17.997642374264032,0.048103359280945494,18.402864478959966,0.05897810924260782,17.51655134586954,0.055987320431636255
54169.531746031746,17.902661381913553,0.04580666643288435,18.010097718262458,0.04637934942825176,18.416435875180852,0.05720670295473605,17.52749839967324,0.05429997805256842
54172.61111111111,17.916888542016277,0.044167686731758894,18.02463203848293,0.04472481734333838,18.432175394006734,0.05551491662597164,17.54040803865771,0.05270343994177974
54175.69047619047,17.933181470790906,0.042573264430815126,18.04125659957345,0.04311337168410072,18.45010306202857,0.053881109686552124,17.555280686421824,0.05117572775088704
54178.769841269845,17.951548230523798,0.04100216761897122,18.05998181299023,0.041523821860375495,18.47023898313965,0.05228852678954706,17.572114870609198,0.04969998712889205
54181.84920634921,17.97199552212424,0.039438107718925,18.080816965848765,0.03993985012610535,18.492603171592663,0.05072504133561808,17.59090685578684,0.048264177956856114
54184.92857142857,17.994528346800852,0.03786944513206961,18.103769906157268,0.03834971923540625,18.517215352171025,0.04918295066792595,17.611650227506477,0.04686078943199429
54188.00793650794,18.01914961579029,0.03628897073201687,18.12884667775881,0.03674605774845499,18.544094721395723,0.04765884507276222,17.634335421932676,0.04548659748804487
54191.0873015873,18.045859700767785,0.03469379820342107,18.15605109745891,0.03512575812330686,18.57325966265238,0.046153564189237245,17.658949195153195,0.04414247004205956
54194.166666666664,18.074655916795884,0.03308539604401429,18.18538426591864,0.033490017589052415,18.604727406930003,0.04467224460585385,17.685474026153226,0.04283321258380348
54197.24603174603,18.105531928913038,0.03146978222727604,18.216844002971232,0.03184454744548579,18.638513629497275,0.04322444957194244,17.7138874475002,0.041567431979587496
54200.3253968254,18.138477072788113,0.029857895694165304,18.25042419712196,0.030199969766196714,18.67463197129986,0.04182435333058924,17.74416129814749,0.040357379361874654
54203.40476190476,18.17347557933507,0.028266140185935984,18.286114058166905,0.028572404952126065,18.713093472132535,0.040490925607579685,17.776260893530154,0.03921871369978618
54206.48412698413,18.21050569291445,0.02671705510871938,18.323897261220253,0.026984216846204948,18.753905900742218,0.03924802399747572,17.810144109450796,0.038170108073623886
54209.56349206349,18.2495386728828,0.02523998536057931,18.363750970092674,0.02546480326890145,18.797072964976007,0.0381242544357135,17.84576037831303,0.037232606117256206
54212.642857142855,18.290537668993995,0.02387147250949069,18.405644728101432,0.02405116990407833,18.842593382966925,0.037152411712479114,17.883049599278937,0.036428636294061616
54215.72222222222,18.33345646276082,0.02265486131370157,18.449539205252798,0.022787782521988972,18.89045979424649,0.03636828603941317,17.921940968152818,0.035780620056425946
54218.80158730159,18.378238069699403,0.021638361208222833,18.495384792654633,0.02172489366907228,18.940657487770906,0.03580865719501185,17.962351738524205,0.035309178697222415
54221.880952380954,18.424813201804472,0.020870728996455968,18.543120038390278,0.02091438403271275,18.99316292238193,0.035508438713819625,18.004185933220718,0.03503105357298533
54224.96031746032,18.47309859616469,0.02039423900658012,18.592669924454224,0.020402577763960573,19.047942014598977,0.03549719488893294,18.04733303472756,0.034956982771255043
54228.03968253968,18.52299522489936,0.020235974806499548,18.643943992337245,0.020220901046935906,19.104948169383537,0.03579556888445793,18.091666695138844,0.035089875570333225
54231.119047619046,18.57438641422973,0.02040020998913952,18.69683433619492,0.0203772604671048,19.16412003239796,0.036412375677126095,18.137043520513757,0.035423637933515925
54234.19841269841,18.627135917131866,0.020865183987648195,18.751213498038098,0.020851908981806132,19.225378948320426,0.03734306105368748,18.183302001080747,0.03594290070463483
54237.27777777778,18.681086005190984,0.021585765648475953,18.8069323198324,0.02159977979690627,19.288626120313033,0.03856987277539351,18.230261677065986,0.03662371777674916
54240.357142857145,18.73605567128528,0.022500510089541667,18.863817833441814,0.022557865443832103,19.353739482472324,0.040063602169721504,18.277722649025932,0.037435112069978856
54243.43650793651,18.791839065341932,0.02354000010479391,18.921671301256666,0.023654186594576396,19.420570322020158,0.04178639661008346,18.325465559742405,0.0383412292663279
54246.51587301587,18.84820431963042,0.024634032003619744,18.980266557714863,0.02481552720136171,19.488939723400655,0.043695070337476646,18.37325218952957,0.03930384175345354
54249.59523809524,18.90489295567098,0.025716876821401547,19.039348843234954,0.02597301184618308,19.558634954558617,0.045744510481754194,18.420826814842595,0.04028500118142825
54252.6746031746,18.96162009804001,0.026731070501960948,19.09863436419378,0.02706602722820193,19.629405978257964,0.04789102757779035,18.467918477253875,0.0412497128556996
54255.75396825397,19.01807574541971,0.02763056900401848,19.157810850231055,0.028045445137575193,19.700962348816386,0.050095687316663876,18.514244291603262,0.0421685507785611
54258.833333333336,19.073927358432872,0.02838393724608039,19.21653940559185,0.028876926618072344,19.7729708451094,0.05232770621505639,18.559513884099736,0.04302012416894703
54261.9126984127,19.128824007736874,0.02897784773053752,19.27445795414988,0.029544657574374442,19.845054288078835,0.05456788012961575,18.603434990202064,0.043793244068819154
54264.99206349206,19.182402274611206,0.02942067410699726,19.331186546177086,0.03005533145778636,19.91679208337346,0.05681175022706017,18.645720157618353,0.04448853931131553
54268.07142857143,19.234294001474343,0.02974536822430368,19.386334716868166,0.030441534414880112,19.98772309783805,0.059071826698166956,18.68609439501485,0.04511916716720008
54271.15079365079,19.284135847394257,0.030010099276133566,19.439510953121825,0.03076287384412513,20.057351495029256,0.06137776778445717,18.724303490182535,0.04571020555426774
54274.230158730155,19.331580417673468,0.03029448919564028,19.490334134405412,0.031102397580970262,20.12515608642344,0.06377313170891556,18.760122605911363,0.046296368944323645
54277.30952380953,19.376308521835195,0.03068927344215708,19.538446575535783,0.03155571456594831,20.190603567636607,0.06630748022569743,18.793364665193785,0.046917930594819454
54280.38888888889,19.418041897907077,0.031278784948558624,19.583528038638377,0.032211855474819605,20.253165678899183,0.06902353318423299,18.823887978723203,0.04761519215714489
